is_canceled,lead_time,arrival_date_week_number,stays_in_weekend_nights,stays_in_week_nights,adults,is_repeated_guest,previous_cancellations,total_of_special_requests,avg_daily_rate,booked_by_company,booked_by_agent,customer_type_Contract,customer_type_Group,customer_type_Transient,customer_type_Transient-Party
0,68,14,2,3,2,0,0,1,130.9,0,1,0,0,0,1
0,152,14,1,4,1,0,0,0,42.0,1,0,0,0,0,1
0,11,49,0,3,1,0,0,0,36.0,1,0,0,0,0,1
1,6,27,0,1,2,0,0,0,139.0,0,1,0,0,1,0
1,335,38,0,1,2,0,1,0,85.0,0,1,0,0,1,0
0,188,40,1,3,2,0,0,0,80.75,0,1,0,0,1,0
0,276,39,0,3,1,0,0,0,95.67,0,1,0,0,0,1
0,2,40,0,2,1,0,0,2,205.0,0,1,0,0,1,0
1,279,21,0,3,3,0,0,2,153.9,0,1,0,0,1,0
0,49,42,0,1,2,0,0,0,126.0,0,1,0,0,1,0
0,5,8,2,1,1,0,0,0,45.0,0,0,0,0,1,0
1,259,28,2,5,2,0,0,0,99.0,0,1,0,0,1,0
1,31,28,2,1,3,0,0,0,168.3,0,1,0,0,1,0
0,316,22,0,3,2,0,0,0,110.0,0,1,0,0,0,1
0,41,17,0,1,1,0,0,0,110.0,1,0,0,0,0,1
0,0,23,0,2,2,0,0,1,136.0,0,1,0,0,1,0
0,61,15,2,2,2,0,0,4,85.5,0,1,1,0,0,0
1,11,33,2,6,2,0,0,0,139.0,0,1,0,0,1,0
1,93,10,0,4,2,0,0,1,91.8,0,1,0,0,1,0
1,115,11,1,2,2,0,0,1,97.33,0,1,0,0,1,0
0,150,25,0,3,2,0,0,1,90.0,0,1,0,0,0,1
0,1,4,0,3,1,0,0,1,31.45,0,1,0,0,1,0
0,1,7,1,3,2,0,0,2,157.0,0,0,0,0,1,0
0,212,23,0,2,2,0,0,1,99.0,0,1,0,0,1,0
0,2,53,0,2,1,1,0,3,75.0,0,1,0,0,0,1
0,4,2,0,4,2,0,0,0,89.0,0,1,0,0,1,0
0,14,38,0,1,1,0,0,0,209.0,0,1,0,0,1,0
1,31,40,0,1,2,0,0,1,111.6,0,1,0,1,0,0
0,0,42,0,1,2,0,0,0,56.0,0,1,0,0,1,0
0,97,18,2,5,2,0,0,1,109.81,0,1,0,0,0,1
1,244,36,0,3,2,0,19,0,36.0,0,0,0,0,1,0
0,36,47,0,2,2,0,0,0,64.0,0,1,0,0,0,1
0,69,44,2,1,2,0,0,0,85.67,0,1,0,0,0,1
0,85,40,0,3,2,0,0,0,125.0,0,1,0,0,0,1
0,0,34,2,1,2,0,0,1,124.0,0,1,0,0,0,1
1,173,23,2,2,2,0,0,0,120.0,0,1,0,0,1,0
1,103,13,1,1,2,0,0,0,65.0,0,1,0,0,1,0
1,240,36,2,2,2,0,0,1,95.63,0,1,0,0,1,0
0,74,38,0,2,1,0,0,0,87.0,0,1,0,0,0,1
0,8,10,0,2,1,0,0,0,56.0,0,1,0,0,1,0
1,393,41,2,2,2,0,0,0,72.0,0,1,0,0,1,0
0,84,15,2,1,3,0,0,1,119.82,0,1,0,0,1,0
0,67,21,1,3,2,0,0,0,109.65,0,1,0,0,1,0
0,69,37,0,2,2,0,0,0,62.0,0,1,0,0,0,1
1,189,18,1,2,2,0,0,0,100.0,0,1,0,0,0,1
0,12,31,1,0,2,0,0,0,139.0,0,1,0,0,1,0
0,56,30,0,2,2,0,0,2,177.3,0,1,0,0,1,0
0,57,10,0,2,3,0,0,1,103.0,0,0,0,0,0,1
0,122,19,1,4,2,0,0,1,99.45,0,1,0,0,1,0
0,37,49,0,1,3,0,0,2,0.0,0,0,0,0,1,0
0,2,4,0,1,2,0,0,0,48.0,0,1,0,0,1,0
0,130,29,2,5,2,0,0,1,252.3,0,1,0,0,1,0
0,25,20,2,2,2,0,0,0,128.0,0,1,0,0,1,0
1,386,31,0,2,2,0,0,0,62.0,0,1,0,0,1,0
0,148,37,0,2,2,0,0,1,93.5,0,1,0,0,0,1
0,17,9,2,0,1,0,0,0,75.0,0,1,0,0,0,1
0,42,53,0,3,2,0,0,0,198.33,0,0,0,0,1,0
0,8,41,1,3,2,0,0,0,56.0,1,0,0,0,0,1
1,140,7,0,2,2,0,0,0,50.0,0,0,0,0,1,0
0,73,48,0,3,1,0,0,0,67.83,0,1,0,0,0,1
1,9,21,1,0,2,0,0,0,70.0,0,1,0,0,0,1
0,385,43,1,4,2,0,0,0,49.0,0,0,0,0,0,1
1,236,20,1,3,2,0,0,0,48.0,0,1,0,0,0,1
1,128,49,0,1,2,0,0,0,64.0,0,0,0,0,0,1
0,48,40,1,2,2,0,0,0,73.51,0,1,0,0,1,0
1,140,7,0,2,2,0,0,0,50.0,0,0,0,0,1,0
0,181,20,2,5,2,0,0,1,52.85,0,1,1,0,0,0
0,18,47,1,4,2,0,0,2,74.8,0,1,0,0,1,0
1,30,39,2,2,2,0,0,0,195.53,0,1,0,0,1,0
0,203,15,0,3,2,0,0,2,133.2,0,1,0,0,1,0
0,106,42,2,6,2,0,0,1,64.5,0,1,0,0,1,0
0,106,18,1,3,2,0,0,1,97.02,0,1,0,0,1,0
0,149,29,2,2,3,0,0,0,169.65,0,1,0,0,1,0
1,185,30,1,1,2,0,0,1,94.5,0,1,0,0,1,0
0,16,39,2,5,2,0,0,2,131.43,0,1,0,0,1,0
0,154,36,1,5,2,0,0,3,161.5,0,1,0,0,1,0
0,262,45,0,2,3,0,0,2,146.7,0,1,0,0,1,0
1,111,35,0,2,2,0,0,0,262.7,0,1,0,0,1,0
1,123,33,2,2,2,0,0,0,260.0,0,1,0,0,1,0
0,17,44,1,1,2,0,0,3,149.0,0,1,0,0,1,0
0,116,12,0,2,1,0,0,0,90.0,0,1,0,0,0,1
0,318,30,0,2,2,0,0,1,134.0,0,1,0,0,0,1
0,27,29,1,3,3,0,0,0,224.0,0,1,0,0,1,0
0,165,22,3,7,2,0,0,1,86.7,0,1,1,0,0,0
0,40,38,0,5,1,0,0,0,108.0,0,1,0,0,0,1
0,25,6,2,3,2,0,0,2,91.8,0,1,0,0,1,0
1,97,27,0,1,2,0,0,0,140.0,0,1,0,0,1,0
0,141,48,0,2,2,0,0,0,90.0,0,1,0,0,1,0
0,160,39,2,5,2,0,0,0,77.93,0,1,0,0,0,1
1,71,39,0,3,2,0,0,0,127.0,0,1,0,0,0,1
0,2,51,0,2,2,0,0,1,63.0,0,1,0,0,1,0
1,368,26,0,3,2,0,0,0,90.0,0,1,0,0,1,0
0,11,8,0,1,2,0,0,0,107.0,0,1,0,0,1,0
0,60,14,1,2,2,0,0,1,106.2,0,1,0,0,1,0
0,99,21,2,5,2,0,0,0,52.56,0,1,0,0,1,0
0,46,11,0,1,1,0,0,0,25.0,0,1,0,0,0,1
0,100,40,0,4,2,0,0,1,140.0,0,1,0,0,0,1
0,39,50,2,8,3,0,0,2,130.9,0,1,0,0,1,0
0,243,39,2,2,1,0,0,0,80.7,0,1,0,0,0,1
0,91,15,2,4,2,0,0,1,83.87,0,1,0,0,1,0
0,159,43,2,2,2,0,0,0,108.0,0,1,0,0,1,0
0,5,5,1,0,1,0,0,0,107.0,0,1,0,0,1,0
1,124,14,1,1,2,0,0,1,99.0,0,1,0,0,1,0
1,140,33,1,3,2,0,0,3,175.0,0,1,0,0,1,0
0,0,10,0,1,2,1,0,3,43.0,0,1,0,0,1,0
1,40,24,2,1,1,0,0,0,95.0,0,1,0,0,1,0
0,0,33,1,1,2,0,0,0,75.0,0,0,0,0,1,0
