,date,uid,sku,price,device,gender,country,age
0,2017-07-10,41195147,sku_three_499,499,android,M,BRA,17
1,2017-07-15,41195147,sku_three_499,499,android,M,BRA,17
2,2017-11-12,41195147,sku_four_599,599,android,M,BRA,17
3,2017-09-26,91591874,sku_two_299,299,android,M,TUR,17
4,2017-12-01,91591874,sku_four_599,599,android,M,TUR,17
5,2016-12-12,90783242,sku_two_299,299,android,M,BRA,17
6,2017-06-12,90783242,sku_one_199,199,android,M,BRA,17
7,2017-10-11,90783242,sku_five_899,899,android,M,BRA,17
8,2017-10-27,90783242,sku_four_599,599,android,M,BRA,17
9,2018-01-04,90783242,sku_one_199,199,android,M,BRA,17
10,2017-03-18,82460736,sku_four_599,599,android,M,BRA,17
11,2017-04-21,82460736,sku_three_499,499,android,M,BRA,17
12,2017-04-30,82460736,sku_one_199,199,android,M,BRA,17
13,2017-09-01,82460736,sku_four_599,599,android,M,BRA,17
14,2017-12-09,82460736,sku_three_499,499,android,M,BRA,17
15,2018-01-04,82460736,sku_four_599,599,android,M,BRA,17
16,2018-02-27,82460736,sku_two_299,299,android,M,BRA,17
17,2017-05-22,71910153,sku_two_299,299,android,F,USA,26
18,2018-03-01,71910153,sku_eight_2099,99,android,F,USA,26
19,2016-05-12,22870987,sku_four_599,599,iOS,F,BRA,26
20,2017-09-30,22870987,sku_one_199,199,iOS,F,BRA,26
21,2018-03-12,22870987,sku_two_299,299,iOS,F,BRA,26
22,2018-03-18,22870987,sku_four_599,599,iOS,F,BRA,26
23,2018-04-09,22870987,sku_four_599,599,iOS,F,BRA,26
24,2017-01-06,24040897,sku_one_199,199,android,F,USA,23
25,2017-05-24,24040897,sku_one_199,199,android,F,USA,23
26,2017-07-09,24040897,sku_three_499,499,android,F,USA,23
27,2017-07-16,24040897,sku_two_299,299,android,F,USA,23
28,2017-09-04,24040897,sku_one_199,199,android,F,USA,23
29,2017-09-05,24040897,sku_four_599,599,android,F,USA,23
30,2018-01-03,24040897,sku_four_599,599,android,F,USA,23
