uid,reg_date,device,gender,country,age
54030035.0,2017-06-29,and,M,USA,19
72574201.0,2018-03-05,iOS,F,TUR,22
64187558.0,2016-02-07,iOS,M,USA,16
92513925.0,2017-05-25,and,M,BRA,41
99231338.0,2017-03-26,iOS,M,FRA,59
64229733.0,2017-05-17,and,F,USA,17
16377492.0,2016-10-16,and,M,BRA,20
36350096.0,2017-04-07,and,M,USA,23
98955454.0,2016-08-11,and,M,USA,22
40461463.0,2017-07-16,and,M,BRA,32
99094125.0,2016-02-11,iOS,M,USA,16
60943517.0,2018-03-07,and,M,USA,22
13373345.0,2017-09-08,and,M,USA,19
89447705.0,2017-11-06,and,F,USA,20
74263197.0,2017-06-22,and,F,BRA,24
58375061.0,2016-06-26,iOS,M,USA,25
61798397.0,2016-12-29,and,F,USA,23
73480791.0,2017-08-20,iOS,M,BRA,45
50777128.0,2017-08-10,iOS,F,DEU,30
89464221.0,2018-01-24,iOS,F,USA,21
53378171.0,2017-12-02,iOS,M,USA,23
75142313.0,2017-05-30,iOS,F,USA,83
72086031.0,2017-03-28,iOS,F,USA,52
96565337.0,2018-01-16,and,M,DEU,20
36476360.0,2018-01-29,iOS,M,FRA,19
20819344.0,2017-11-09,and,M,BRA,33
16113980.0,2017-06-17,and,F,CAN,17
12223114.0,2017-07-08,and,F,BRA,16
89173956.0,2016-05-28,and,F,DEU,25
66770349.0,2018-02-17,and,F,USA,16
24708291.0,2016-01-28,and,F,TUR,37
66835609.0,2018-03-08,and,M,BRA,19
25358483.0,2016-04-07,and,M,USA,64
61509814.0,2017-08-18,iOS,F,USA,22
18720551.0,2017-07-05,iOS,M,DEU,24
87711484.0,2018-01-19,iOS,M,USA,19
43052026.0,2016-10-31,iOS,M,DEU,35
53111877.0,2017-02-15,iOS,M,USA,16
30657860.0,2016-09-28,and,M,USA,22
79481427.0,2016-03-03,and,M,TUR,17
30363170.0,2016-09-11,iOS,F,TUR,20
74247839.0,2017-04-04,and,F,USA,19
38628362.0,2018-03-08,and,F,USA,15
15487475.0,2017-11-19,iOS,F,CAN,17
25033821.0,2016-08-19,iOS,F,USA,21
90562190.0,2017-09-04,iOS,M,TUR,16
35580487.0,2017-09-29,and,F,USA,24
72243472.0,2015-08-03,iOS,F,USA,15
11309555.0,2015-02-16,and,F,USA,24
39486145.0,2017-11-26,iOS,M,USA,20
48325633.0,2017-11-20,iOS,M,USA,24
18035072.0,2017-09-26,and,M,BRA,23
67732177.0,2017-08-27,and,M,USA,17
23360771.0,2018-01-20,and,M,BRA,51
62526257.0,2017-03-17,iOS,M,USA,37
85426418.0,2018-02-26,and,F,TUR,19
59666846.0,2017-12-23,and,F,BRA,23
77010199.0,2018-02-04,and,F,CAN,30
67440775.0,2018-02-02,and,M,BRA,53
51271176.0,2018-01-14,and,F,USA,30
76661000.0,2017-10-18,iOS,M,DEU,31
45670233.0,2017-10-03,and,F,CAN,23
76906161.0,2017-11-08,and,F,TUR,26
65194975.0,2017-12-13,and,F,CAN,25
26829700.0,2016-08-22,and,M,USA,17
49518970.0,2015-06-05,and,M,USA,21
90279488.0,2018-02-14,and,F,CAN,26
98435331.0,2017-07-19,iOS,M,BRA,21
44131918.0,2015-08-25,iOS,F,USA,25
84379156.0,2017-04-03,and,F,DEU,25
69978208.0,2017-03-14,iOS,M,USA,16
21353457.0,2016-08-11,iOS,M,BRA,27
66807153.0,2016-05-08,iOS,M,USA,24
76040729.0,2016-03-30,iOS,F,USA,15
13017133.0,2017-07-10,iOS,F,CAN,15
93400428.0,2017-07-23,and,M,BRA,18
29834438.0,2017-12-01,iOS,F,TUR,29
56024697.0,2018-03-17,and,M,BRA,16
11300465.0,2016-01-19,iOS,M,FRA,21
26000101.0,2017-03-25,and,F,TUR,19
70069860.0,2017-12-19,and,F,BRA,17
41635199.0,2016-07-26,iOS,F,BRA,22
13052437.0,2017-01-24,and,M,TUR,15
76307974.0,2017-05-07,and,F,TUR,21
64522849.0,2015-09-10,and,M,BRA,25
73145820.0,2018-01-23,and,F,DEU,26
79004184.0,2018-02-16,iOS,F,DEU,21
30120100.0,2017-12-24,and,F,DEU,31
65930247.0,2018-02-21,iOS,F,USA,17
74650949.0,2017-03-29,iOS,F,BRA,27
85383645.0,2017-08-31,iOS,M,DEU,33
77818106.0,2017-07-19,iOS,M,USA,16
92922505.0,2018-02-16,and,M,TUR,16
36855383.0,2017-10-24,and,F,USA,18
15917829.0,2017-11-27,and,F,USA,36
12235632.0,2017-05-13,and,M,BRA,17
19663729.0,2017-07-09,iOS,M,DEU,19
22599212.0,2015-06-23,iOS,M,DEU,42
67728035.0,2018-02-28,iOS,M,CAN,29
17703699.0,2017-05-03,and,M,USA,49
89061574.0,2018-02-18,iOS,F,FRA,22
46616311.0,2017-05-02,and,F,USA,17
37708111.0,2017-07-27,and,M,USA,16
58745144.0,2017-08-22,and,M,USA,31
89312230.0,2016-09-20,and,M,DEU,21
41276426.0,2017-12-15,and,F,USA,22
64982850.0,2018-01-13,iOS,F,USA,29
91510205.0,2018-02-07,and,F,USA,23
31291327.0,2018-01-30,and,F,USA,15
23495692.0,2015-04-02,and,M,DEU,19
37983963.0,2017-10-05,iOS,M,BRA,17
61104056.0,2018-03-18,and,M,USA,18
80423456.0,2016-08-27,and,M,USA,18
21367178.0,2017-11-04,and,M,USA,18
15446544.0,2017-03-28,and,M,TUR,16
34348321.0,2017-03-29,iOS,M,BRA,32
27250031.0,2017-12-06,and,M,BRA,41
82911971.0,2018-01-05,iOS,M,BRA,20
28043369.0,2017-10-09,and,M,TUR,28
23240242.0,2017-02-16,iOS,F,USA,24
21255196.0,2017-04-19,and,M,USA,18
86951624.0,2018-01-06,iOS,M,FRA,16
82087794.0,2018-03-05,and,F,FRA,15
45539720.0,2017-03-13,iOS,M,USA,19
74082748.0,2016-12-17,and,M,USA,24
84056042.0,2016-11-29,and,F,DEU,16
75610381.0,2018-03-17,iOS,M,DEU,44
46473919.0,2016-05-13,and,M,USA,16
88405114.0,2017-01-24,iOS,M,TUR,15
86575740.0,2016-10-11,and,M,USA,29
66903115.0,2017-07-23,iOS,F,USA,15
56367460.0,2017-09-20,iOS,F,USA,45
70285355.0,2018-02-03,and,F,USA,27
82028666.0,2017-11-17,and,F,TUR,21
71865028.0,2017-02-03,and,M,DEU,62
81301813.0,2017-12-26,and,M,USA,20
51284237.0,2015-07-05,and,M,USA,36
86850383.0,2016-12-16,and,M,USA,30
16558533.0,2017-03-26,and,F,TUR,18
49228019.0,2018-03-10,iOS,F,BRA,25
89674483.0,2017-04-08,and,F,DEU,22
88961531.0,2017-08-18,and,M,CAN,23
85455628.0,2018-01-24,iOS,M,USA,48
59293403.0,2017-12-20,and,F,USA,16
88322199.0,2016-07-04,and,F,USA,21
48305799.0,2017-08-19,and,F,USA,27
82906474.0,2017-07-11,iOS,M,BRA,18
24730305.0,2018-03-05,and,M,CAN,16
80640361.0,2018-01-30,and,M,USA,27
89804397.0,2015-05-24,and,F,DEU,26
84866161.0,2017-12-24,iOS,F,BRA,17
75572676.0,2018-03-15,and,F,USA,25
19621049.0,2015-04-07,and,F,BRA,35
98826375.0,2017-09-22,and,F,BRA,19
80808121.0,2015-10-18,iOS,F,DEU,23
18371498.0,2017-12-04,iOS,M,USA,22
29810365.0,2018-02-01,iOS,F,CAN,22
14643990.0,2017-07-02,and,F,CAN,17
76238791.0,2017-05-25,iOS,M,BRA,23
63554935.0,2018-03-05,and,M,BRA,16
12010899.0,2017-06-29,and,M,DEU,15
86820480.0,2018-01-15,and,M,DEU,23
68314120.0,2017-09-12,and,F,FRA,22
76719622.0,2018-01-23,and,M,TUR,17
43552451.0,2017-09-12,and,M,DEU,15
43440831.0,2018-01-15,and,F,BRA,22
99980066.0,2015-07-04,iOS,M,TUR,24
20275625.0,2017-09-21,and,F,USA,25
49191638.0,2017-09-02,and,F,CAN,22
46372689.0,2018-02-15,and,M,USA,35
14127324.0,2017-07-02,iOS,F,USA,18
57104126.0,2017-08-16,and,F,FRA,15
73900921.0,2017-04-22,iOS,M,TUR,18
78368042.0,2016-09-27,and,M,BRA,16
53419895.0,2018-03-16,and,M,TUR,17
57859524.0,2017-09-06,iOS,M,TUR,27
44562562.0,2016-11-27,and,F,USA,33
82748689.0,2016-05-23,and,M,CAN,28
42232649.0,2017-08-17,iOS,M,BRA,15
73337819.0,2016-11-13,iOS,M,BRA,24
71939216.0,2018-01-26,iOS,F,USA,18
55677620.0,2016-07-14,and,F,BRA,32
38271032.0,2017-04-09,and,M,USA,17
79279526.0,2017-06-08,iOS,F,USA,17
44650512.0,2017-02-24,iOS,M,USA,17
96667821.0,2018-03-14,and,M,DEU,20
58656099.0,2016-07-12,iOS,F,USA,29
44410606.0,2017-12-24,iOS,F,USA,26
94090865.0,2016-02-12,and,M,TUR,16
46934052.0,2016-06-28,iOS,M,USA,22
32534439.0,2017-09-25,iOS,F,BRA,18
57406482.0,2017-04-04,and,F,USA,17
68017623.0,2017-01-20,iOS,M,USA,27
90876457.0,2018-03-10,iOS,F,BRA,22
39721983.0,2017-07-13,iOS,M,USA,18
68905032.0,2017-11-29,and,M,TUR,23
99201953.0,2018-03-13,and,M,BRA,32
87378125.0,2016-10-13,and,F,USA,15
55834439.0,2018-01-27,and,F,BRA,21
88120639.0,2016-12-13,and,M,USA,26
49725720.0,2017-09-23,and,F,TUR,29
61015529.0,2017-05-13,iOS,M,TUR,22
11153046.0,2015-07-13,iOS,F,USA,23
26979863.0,2017-01-23,iOS,M,USA,19
12001630.0,2018-03-09,and,M,TUR,20
43380887.0,2017-12-22,and,F,CAN,27
99472712.0,2017-06-22,and,F,BRA,20
18473785.0,2017-10-15,iOS,M,BRA,18
99309406.0,2017-08-11,and,F,USA,39
94633014.0,2017-02-09,iOS,F,TUR,31
81870014.0,2015-04-26,and,M,BRA,18
86042841.0,2016-03-11,iOS,M,USA,17
65212296.0,2017-03-31,and,F,TUR,32
55470182.0,2016-12-18,and,F,USA,23
75763997.0,2016-06-12,and,F,BRA,16
57580319.0,2016-07-04,iOS,F,USA,22
61696341.0,2017-09-21,iOS,M,USA,19
27871636.0,2015-09-13,and,F,USA,46
57311167.0,2018-02-06,and,F,USA,15
58068240.0,2016-03-05,and,F,USA,22
92125164.0,2018-02-13,iOS,F,USA,19
72992651.0,2018-01-06,iOS,F,DEU,18
69489891.0,2016-02-03,and,F,BRA,19
44074776.0,2018-03-07,iOS,F,BRA,15
73639526.0,2017-07-07,iOS,F,USA,31
55333636.0,2017-12-11,and,F,USA,15
18225818.0,2017-11-16,and,F,FRA,17
67144708.0,2017-10-24,and,F,USA,29
87801530.0,2017-06-03,iOS,F,BRA,41
19142545.0,2017-07-07,iOS,F,DEU,20
76557144.0,2018-01-08,and,F,USA,22
64075836.0,2017-07-10,and,M,FRA,20
78334743.0,2016-11-17,and,M,USA,26
25473017.0,2016-05-06,iOS,F,USA,16
37502151.0,2017-05-25,iOS,F,BRA,16
34956713.0,2017-10-04,iOS,M,TUR,19
44437453.0,2015-07-10,iOS,F,TUR,22
15034712.0,2017-12-07,iOS,M,TUR,16
57785029.0,2016-10-31,iOS,M,USA,27
58364699.0,2017-06-07,iOS,M,DEU,28
71937671.0,2016-03-28,iOS,F,DEU,15
17739937.0,2018-01-31,and,M,BRA,16
58418749.0,2017-11-19,iOS,F,USA,21
91553462.0,2018-01-12,and,M,TUR,16
83693497.0,2017-02-17,iOS,M,USA,18
26206386.0,2016-05-07,and,F,FRA,28
12295769.0,2017-01-06,and,F,DEU,30
46478586.0,2017-05-05,and,M,TUR,30
67716800.0,2017-12-18,iOS,M,BRA,19
54810234.0,2017-03-15,and,F,BRA,16
65031962.0,2017-07-24,and,M,USA,23
21964824.0,2018-03-04,iOS,F,TUR,15
93004711.0,2017-04-22,and,M,DEU,24
14167613.0,2018-02-27,iOS,M,CAN,37
30910649.0,2017-12-01,and,F,TUR,15
32283870.0,2016-08-22,iOS,F,TUR,25
18831596.0,2018-01-15,iOS,F,BRA,33
56742706.0,2016-09-01,and,F,USA,17
92427121.0,2017-08-28,and,M,BRA,25
16832651.0,2018-02-15,iOS,M,USA,19
57330148.0,2015-07-28,iOS,M,BRA,30
58700485.0,2017-04-09,and,M,FRA,16
24069510.0,2017-12-27,and,F,TUR,21
58614173.0,2017-11-19,and,M,DEU,30
50585772.0,2015-08-24,and,F,USA,38
20335164.0,2016-07-16,iOS,F,BRA,19
41047760.0,2015-09-04,iOS,F,CAN,19
63182097.0,2017-04-03,iOS,F,BRA,17
87525475.0,2017-06-16,iOS,M,DEU,17
67217881.0,2015-11-21,iOS,M,USA,24
75557946.0,2017-06-21,and,F,USA,15
95129508.0,2015-12-20,and,F,BRA,28
92983490.0,2018-03-04,and,F,DEU,20
58904519.0,2018-02-21,iOS,F,USA,22
63245432.0,2016-12-04,and,F,FRA,20
55229822.0,2018-01-16,and,F,BRA,27
93535360.0,2017-01-25,and,M,USA,25
46497663.0,2017-08-22,iOS,F,BRA,17
99916096.0,2017-09-27,and,F,USA,18
99888805.0,2016-12-02,iOS,M,USA,15
56796198.0,2017-12-29,and,F,TUR,54
95674089.0,2016-05-21,and,M,BRA,34
96840524.0,2017-03-07,and,M,DEU,36
96282239.0,2016-06-28,iOS,M,USA,34
68791188.0,2017-10-14,and,M,USA,27
46187879.0,2018-02-02,iOS,M,USA,21
13537603.0,2016-06-18,iOS,F,BRA,26
61838163.0,2017-05-10,and,M,CAN,31
87242107.0,2017-11-24,iOS,M,DEU,17
30962180.0,2018-02-01,and,F,TUR,25
