Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Global_Sales
34,Call of Duty: Black Ops 3,PS4,2015-01-01,Shooter,Activision,5.77,5.81,0.35,14.24
93,Star Wars Battlefront (2015),PS4,2015-01-01,Shooter,Electronic Arts,2.93,3.29,0.22,7.67
94,Call of Duty: Advanced Warfare,PS4,2014-01-01,Shooter,Activision,2.8,3.3,0.14,7.6
102,Call of Duty: Black Ops 3,XOne,2015-01-01,Shooter,Activision,4.52,2.09,0.01,7.3
138,World of Warcraft,PC,2004-01-01,Role-Playing,Activision,0.07,6.21,0.0,6.28
155,Destiny,PS4,2014-01-01,Shooter,Activision,2.49,2.05,0.16,5.65
182,Diablo III,PC,2012-01-01,Role-Playing,Activision,2.43,2.15,0.0,5.2
194,Call of Duty: Advanced Warfare,XOne,2014-01-01,Shooter,Activision,3.21,1.53,0.01,5.13
218,StarCraft II: Wings of Liberty,PC,2010-01-01,Strategy,Activision,2.56,1.68,0.0,4.83
281,Watch Dogs,PS4,2014-01-01,Action,Ubisoft,1.4,1.86,0.11,4.14
289,World of Warcraft: The Burning Crusade,PC,2007-01-01,Role-Playing,Activision,2.57,1.52,0.0,4.09
296,Far Cry 4,PS4,2014-01-01,Shooter,Ubisoft,1.12,2.12,0.1,4.03
305,Assassin's Creed: Unity,PS4,2014-01-01,Action,Ubisoft,1.18,1.96,0.08,3.92
350,Call of Duty: Ghosts,PS4,2013-01-01,Shooter,Activision,1.78,1.42,0.05,3.63
352,Tom Clancy's The Division,PS4,2016-01-01,Shooter,Ubisoft,1.28,1.61,0.15,3.61
379,Star Wars Battlefront (2015),XOne,2015-01-01,Shooter,Electronic Arts,1.94,1.22,0.02,3.49
382,Assassin's Creed: Unity,XOne,2014-01-01,Action,Ubisoft,2.26,0.89,0.0,3.46
387,Battlefield 4,PS4,2013-01-01,Shooter,Electronic Arts,1.34,1.54,0.17,3.43
410,Assassin's Creed Syndicate,PS4,2015-01-01,Action,Ubisoft,0.8,1.92,0.06,3.28
411,Destiny,XOne,2014-01-01,Shooter,Activision,2.13,0.92,0.0,3.28
480,Star Wars: The Old Republic,PC,2011-01-01,Role-Playing,Electronic Arts,1.58,1.01,0.0,2.97
495,Titanfall,XOne,2014-01-01,Shooter,Electronic Arts,1.84,0.8,0.04,2.9
506,Call of Duty: Ghosts,XOne,2013-01-01,Shooter,Activision,1.87,0.77,0.0,2.86
534,Battlefield 3,PC,2011-01-01,Shooter,Electronic Arts,0.89,1.43,0.0,2.79
547,Assassin's Creed IV: Black Flag,PS4,2013-01-01,Action,Ubisoft,1.07,1.31,0.06,2.74
733,Assassin's Creed IV: Black Flag,XOne,2013-01-01,Action,Ubisoft,1.47,0.55,0.0,2.21
760,Tom Clancy's Rainbow Six: Siege,PS4,2015-01-01,Shooter,Ubisoft,0.54,1.16,0.13,2.15
772,Far Cry: Primal,PS4,2016-01-01,Action,Ubisoft,0.59,1.16,0.06,2.13
799,Battlefield: Hardline,PS4,2015-01-01,Shooter,Electronic Arts,0.7,0.93,0.14,2.09
801,World of Warcraft: Cataclysm,PC,2010-01-01,Role-Playing,Activision,1.77,0.32,0.0,2.08
847,Tom Clancy's The Division,XOne,2016-01-01,Shooter,Ubisoft,1.2,0.62,0.0,2.01
